Reference,Type,Qty,Comment,Mfr Part Number,Mouser Part Number,Manufacturer
IC1,Z80A,1,Or NEC D780C-1; can use modern CMOS equivalent from Zilog,Z84C0006PEG,692-Z84C0006PEG,Zilog
IC2,2332 4K EPROM,1,"Or 2732, or larger with modification",,,
"IC3,IC4",2114 1Kx4 bit RAM,2,Or 62256 with modification,,,
IC5,74LS373,1,,SN74LS373N,595-SN74LS373N,Texas Instruments
"IC6,IC7,IC8",74LS157,3,,SN74LS157N,595-SN74LS157N,Texas Instruments
IC9,74LS165,1,,SN74LS165AN,595-SN74LS165AN,Texas Instruments
IC10,74LS365,1,,SN74LS365AN,595-SN74LS365AN,Texas Instruments
"IC11,IC12",74LS00,2,,SN74LS00N,595-SN74LS00N,Texas Instruments
IC13,74LS04,1,,SN74LS04N,595-SN74LS04N,Texas Instruments
"IC14,IC15",74LS05,2,,SN74LS05N,595-SN74LS05N,Texas Instruments
IC16,74LS10,1,,SN74LS10N,595-SN74LS10N,Texas Instruments
IC17,74LS32,1,,SN74LS32N,595-SN74LS32N,Texas Instruments
"IC18,IC19",74LS74,2,,SN74LS74AN,595-SN74LS74AN,Texas Instruments
IC20,74LS86,1,,SN74LS86AN,595-SN74LS86AN,Texas Instruments
IC21,74LS93,1,,SN74LS93N,595-SN74LS93N,Texas Instruments
IC22,7805C,1,Or LM340T5 (e.g. LM340T-5.0/NOPB),MC7805CTG,863-MC7805CTG,onsemi
TR1,ZTX329,0,Only for 60Hz,,,
"D1,D2",,0,Only for 60Hz,,,
"D3,D4,D5,D6,D7,D8,D9,D10",BA220 or BA221,8,THT versions no longer manufactured; substitute for 1N4148,1N4148,512-1N4148,onsemi
D11,1N4148,1,Only for 60Hz operation,1N4148,512-1N4148,onsemi
X1,CDA6.5MC,1,6.5MHz Ceramic Resonator or 6.5MHz Crystal (e.g. ECS-65-20-4X),CSTLS6M50G53-B0,81-CSTLS6M50G53-B0,Murata Electronics
"C1,C2,C4,C5,C6,C13",47nF,6,,,,
C3,,0,Only for 60Hz,,,
C7,,0,Only for 60Hz,,,
C8,22uF,1,16V,ECA-1CM220B,667-ECA-1CM220B,Panasonic
"C9,C11,C14",47pF,3,,,,
C10,1uF,1,63V,860020772005,710-860020772005,Wurth Elektronik
C12,100nF,1,12V,,,
C15,220pF,1,May be from 0 - 330pF,,,
"R1,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R18,R22,R23,R24,R27,R30,R34",1K 5%,18,R30 is 2K2 for 60Hz,CFR-25JB-1K0,603-CFR-25JB-1K0,YAGEO
"R2,R25",470R 5%,2,,CFR-25JB-52-470R,603-CFR-25JB-52-470R,YAGEO
"R13,R14,R15,R16,R17,R28",47K 5%,6,,CFR-25JB-52-47K,603-CFR-25JB-52-47K,YAGEO
R19,2k2 5%,1,,CFR-25JB-52-2K2,603-CFR-25JB-52-2K2,YAGEO
"R20,R32",330R 5%,2,,CFR-25JB-52-330R,603-CFR-25JB-52-330R,YAGEO
R21,220K 5%,1,,CFR-25JB-52-220K,603-CFR-25JB-52-220K,YAGEO
R26,,0,Only for 60Hz,,,
R29,180R 5%,1,,CFR-25JB-52-180R,603-CFR-25JB-52-180R,YAGEO
R31,1K 5%,0,Only for 60Hz,CFR-25JB-1K0,603-CFR-25JB-1K0,YAGEO
"R33, R36",5.6K,0,Only for 60Hz,CFR-25JB-52-5K6,603-CFR-25JB-52-5K6,YAGEO
R35,1M 1%,1,,MFR-25FTE52-1M,603-MFR-25FTE52-1M,YAGEO
R37,,0,Only for 60Hz,,,
"J1,J2,J3",3.5mm Jack Socket,3,,,,
RF Modulator,UM1233 RF Modulator,1,New old stock only,,,Astec
,Heatsink for Regulator,1,,,,
,40 Pin DIL socket (600 CL),1,,1-2199299-5,571-1-2199299-5,TE Connectivity
,20 Pin DIL socket (300 CL),1,,1-2199298-6,571-1-2199298-6,TE Connectivity
,16 Pin DIL socket (300 CL),5,,1-2199298-4,571-1-2199298-4,TE Connectivity
,14 Pin DIL socket (300 CL),11,,1-2199298-3,571-1-2199298-3,TE Connectivity
,18 Pin DIL socket (300 CL),2,2114 RAM,1-2199298-5,571-1-2199298-5,TE Connectivity
,28 Pin DIL socket (600 CL),1,62256 RAM,1-2199299-2,571-1-2199299-2,TE Connectivity
