ZX80 Foils 1.8 hole locations
X,Y,DIAMETER coordinates from bottom left index.

127.2,160.9,1.0
127.2,158.3,1.0
127.2,155.8,1.0
127.2,153.2,1.0
127.2,150.7,1.0
127.2,148.1,1.0
127.2,145.5,1.0
127.2,143.0,1.0
127.2,140.4,1.0
127.2,137.9,1.0
127.2,135.3,1.0
127.2,132.8,1.0
142.5,160.9,1.0
142.5,158.3,1.0
142.5,155.8,1.0
142.5,153.2,1.0
142.5,150.7,1.0
142.5,148.1,1.0
142.5,145.5,1.0
142.5,143.0,1.0
142.5,140.4,1.0
142.5,137.9,1.0
142.5,135.3,1.0
142.5,132.8,1.0
71.6,161.9,1.0
71.6,159.4,1.0
71.6,156.9,1.0
71.6,154.3,1.0
71.6,151.8,1.0
71.6,149.2,1.0
71.6,146.7,1.0
71.6,144.2,1.0
71.6,141.6,1.0
71.6,139.1,1.0
71.6,136.5,1.0
71.6,134.0,1.0
71.6,131.5,1.0
71.6,128.9,1.0
71.6,126.4,1.0
71.6,123.8,1.0
71.6,121.3,1.0
71.6,118.8,1.0
71.6,116.2,1.0
71.6,113.7,1.0
56.3,161.9,1.0
56.3,159.4,1.0
56.3,156.9,1.0
56.3,154.3,1.0
56.3,151.8,1.0
56.3,149.2,1.0
56.3,146.7,1.0
56.3,144.2,1.0
56.3,141.6,1.0
56.3,139.1,1.0
56.3,136.5,1.0
56.3,134.0,1.0
56.3,131.5,1.0
56.3,128.9,1.0
56.3,126.4,1.0
56.3,123.8,1.0
56.3,121.3,1.0
56.3,118.8,1.0
56.3,116.2,1.0
56.3,113.7,1.0
135.1,100.3,1.0
135.1,97.7,1.0
135.1,95.2,1.0
135.1,92.6,1.0
135.1,90.1,1.0
135.1,87.5,1.0
135.1,85.0,1.0
127.4,100.3,1.0
127.4,97.7,1.0
127.4,95.2,1.0
127.4,92.6,1.0
127.4,90.1,1.0
127.4,87.5,1.0
127.4,85.0,1.0
122.2,100.3,1.0
122.2,97.7,1.0
122.2,95.2,1.0
122.2,92.6,1.0
122.2,90.1,1.0
122.2,87.5,1.0
122.2,85.0,1.0
114.7,100.3,1.0
114.7,97.7,1.0
114.7,95.2,1.0
114.7,92.6,1.0
114.7,90.1,1.0
114.7,87.5,1.0
114.7,85.0,1.0
109.6,100.3,1.0
109.6,97.7,1.0
109.6,95.2,1.0
109.6,92.6,1.0
109.6,90.1,1.0
109.6,87.5,1.0
109.6,85.0,1.0
102.0,100.3,1.0
102.0,97.7,1.0
102.0,95.2,1.0
102.0,92.6,1.0
102.0,90.1,1.0
102.0,87.5,1.0
102.0,85.0,1.0
93.1,100.3,1.0
93.1,97.7,1.0
93.1,95.2,1.0
93.1,92.6,1.0
93.1,90.1,1.0
93.1,87.5,1.0
93.1,85.0,1.0
85.5,100.3,1.0
85.5,97.7,1.0
85.5,95.2,1.0
85.5,92.6,1.0
85.5,90.1,1.0
85.5,87.5,1.0
85.5,85.0,1.0
76.6,100.3,1.0
76.6,97.7,1.0
76.6,95.2,1.0
76.6,92.6,1.0
76.6,90.1,1.0
76.6,87.5,1.0
76.6,85.0,1.0
69.1,100.3,1.0
69.1,97.7,1.0
69.1,95.2,1.0
69.1,92.6,1.0
69.1,90.1,1.0
69.1,87.5,1.0
69.1,85.0,1.0
62.7,100.3,1.0
62.7,97.7,1.0
62.7,95.2,1.0
62.7,92.6,1.0
62.7,90.1,1.0
62.7,87.5,1.0
62.7,85.0,1.0
55.0,100.3,1.0
55.0,97.7,1.0
55.0,95.2,1.0
55.0,92.6,1.0
55.0,90.1,1.0
55.0,87.5,1.0
55.0,85.0,1.0
50.0,100.3,1.0
50.0,97.7,1.0
50.0,95.2,1.0
50.0,92.6,1.0
50.0,90.1,1.0
50.0,87.5,1.0
50.0,85.0,1.0
42.4,100.3,1.0
42.4,97.7,1.0
42.4,95.2,1.0
42.4,92.6,1.0
42.4,90.1,1.0
42.4,87.5,1.0
42.4,85.0,1.0
33.4,100.3,1.0
33.4,97.7,1.0
33.4,95.2,1.0
33.4,92.6,1.0
33.4,90.1,1.0
33.4,87.5,1.0
33.4,85.0,1.0
25.8,100.3,1.0
25.8,97.7,1.0
25.8,95.2,1.0
25.8,92.6,1.0
25.8,90.1,1.0
25.8,87.5,1.0
25.8,85.0,1.0
20.8,100.3,1.0
20.8,97.7,1.0
20.8,95.2,1.0
20.8,92.6,1.0
20.8,90.1,1.0
20.8,87.5,1.0
20.8,85.0,1.0
13.1,100.3,1.0
13.1,97.7,1.0
13.1,95.2,1.0
13.1,92.6,1.0
13.1,90.1,1.0
13.1,87.5,1.0
13.1,85.0,1.0
146.3,127.7,1.0
146.3,125.2,1.0
146.3,122.6,1.0
146.3,120.1,1.0
146.3,117.5,1.0
146.3,115.0,1.0
146.3,112.4,1.0
138.6,127.7,1.0
138.6,125.2,1.0
138.6,122.6,1.0
138.6,120.1,1.0
138.6,117.5,1.0
138.6,115.0,1.0
138.6,112.4,1.0
132.4,127.7,1.0
132.4,125.2,1.0
132.4,122.6,1.0
132.4,120.1,1.0
132.4,117.5,1.0
132.4,115.0,1.0
132.4,112.4,1.0
124.6,127.7,1.0
124.6,125.2,1.0
124.6,122.6,1.0
124.6,120.1,1.0
124.6,117.5,1.0
124.6,115.0,1.0
124.6,112.4,1.0
113.5,132.8,1.0
113.5,130.3,1.0
113.5,127.7,1.0
113.5,125.2,1.0
113.5,122.6,1.0
113.5,120.1,1.0
113.5,117.6,1.0
113.5,115.0,1.0
105.8,132.8,1.0
105.8,130.3,1.0
105.8,127.7,1.0
105.8,125.2,1.0
105.8,122.6,1.0
105.8,120.1,1.0
105.8,117.6,1.0
